*i,st,t,value
UPV,UT,2026,0
UPV,UT,2027,0
UPV,UT,2028,0
UPV,UT,2029,0
UPV,UT,2030,0
UPV,UT,2031,0
UPV,UT,2032,0
UPV,UT,2033,0
UPV,UT,2034,0
UPV,UT,2035,0
UPV,UT,2036,0
UPV,UT,2037,0
UPV,UT,2038,0
UPV,UT,2039,0
UPV,UT,2040,0
UPV,UT,2041,0
UPV,UT,2042,0
UPV,UT,2043,0
UPV,UT,2044,0
UPV,UT,2045,0
ONSWIND,UT,2026,0
ONSWIND,UT,2027,0
ONSWIND,UT,2028,0
ONSWIND,UT,2029,0
ONSWIND,UT,2030,0
ONSWIND,UT,2031,0
ONSWIND,UT,2032,0
ONSWIND,UT,2033,0
ONSWIND,UT,2034,0
ONSWIND,UT,2035,0
ONSWIND,UT,2036,0
ONSWIND,UT,2037,0
ONSWIND,UT,2038,0
ONSWIND,UT,2039,0
ONSWIND,UT,2040,0
ONSWIND,UT,2041,0
ONSWIND,UT,2042,0
ONSWIND,UT,2043,0
ONSWIND,UT,2044,0
ONSWIND,UT,2045,0
STORAGE,UT,2026,0
STORAGE,UT,2027,0
STORAGE,UT,2028,0
STORAGE,UT,2029,0
STORAGE,UT,2030,0
STORAGE,UT,2031,151
STORAGE,UT,2032,0
STORAGE,UT,2033,0
STORAGE,UT,2034,0
STORAGE,UT,2035,0
STORAGE,UT,2036,0
STORAGE,UT,2037,0
STORAGE,UT,2038,0
STORAGE,UT,2039,0
STORAGE,UT,2040,0
STORAGE,UT,2041,0
STORAGE,UT,2042,0
STORAGE,UT,2043,0
STORAGE,UT,2044,0
STORAGE,UT,2045,0
GAS_CT,UT,2026,97
GAS_CT,UT,2027,215
GAS_CT,UT,2028,252
GAS_CT,UT,2029,417
GAS_CT,UT,2030,381
GAS_CT,UT,2031,368
GAS_CT,UT,2032,371
GAS_CT,UT,2033,308
GAS_CT,UT,2034,342
GAS_CT,UT,2035,339
GAS_CT,UT,2036,342
GAS_CT,UT,2037,283
GAS_CT,UT,2038,382
GAS_CT,UT,2039,318
GAS_CT,UT,2040,298
GAS_CT,UT,2041,323
GAS_CT,UT,2042,375
GAS_CT,UT,2043,683
GAS_CT,UT,2044,258
GAS_CT,UT,2045,782
GAS_CC,UT,2026,0
GAS_CC,UT,2027,0
GAS_CC,UT,2028,0
GAS_CC,UT,2029,0
GAS_CC,UT,2030,0
GAS_CC,UT,2031,0
GAS_CC,UT,2032,0
GAS_CC,UT,2033,0
GAS_CC,UT,2034,0
GAS_CC,UT,2035,19
GAS_CC,UT,2036,525
GAS_CC,UT,2037,0
GAS_CC,UT,2038,364
GAS_CC,UT,2039,0
GAS_CC,UT,2040,0
GAS_CC,UT,2041,0
GAS_CC,UT,2042,0
GAS_CC,UT,2043,263
GAS_CC,UT,2044,0
GAS_CC,UT,2045,199
